 cookie=0x0, duration=16.924s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=5959 actions=output:2
 cookie=0x0, duration=16.924s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1718 actions=output:2
 cookie=0x0, duration=16.931s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1126 actions=output:2
 cookie=0x0, duration=16.995s, table=0, n_packets=0, n_bytes=0, idle_age=16, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=8031 actions=output:2
 cookie=0x0, duration=17.064s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1061 actions=output:2
 cookie=0x0, duration=17.064s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1863 actions=output:2
 cookie=0x0, duration=17.064s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=3737 actions=output:2
 cookie=0x0, duration=17.064s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=62078 actions=output:2
 cookie=0x0, duration=17.065s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=32775 actions=output:2
 cookie=0x0, duration=17.069s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=1082 actions=output:2
 cookie=0x0, duration=17.072s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=56737 actions=output:2
 cookie=0x0, duration=17.132s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=2022 actions=output:2
 cookie=0x0, duration=17.209s, table=0, n_packets=0, n_bytes=0, idle_age=17, priority=1,tcp,in_port=1,dl_src=ae:c9:82:02:9d:f2,dl_dst=be:f8:9b:4a:79:92,nw_src=10.0.0.1,nw_dst=10.0.0.5,tp_src=33391,tp_dst=37 actions=output:2
